(0,1,K)
(0,4,K)
(0,9,K)
(0,13,K)
(0,16,K)
(0,20,K)
(0,22,K)
(0,23,K)
(0,26,K)
(0,29,K)
(0,32,K)
(0,33,K)
(0,35,K)
(0,46,K)
(1,1,K)
(1,8,K)
(1,12,K)
(1,19,K)
(1,25,K)
(1,36,K)
(1,37,K)
(1,47,K)
(1,48,K)
(2,0,K)
(2,1,K)
(2,3,K)
(2,4,K)
(2,6,K)
(2,7,K)
(2,9,K)
(2,12,K)
(2,18,K)
(2,24,K)
(2,27,K)
(2,30,K)
(2,34,K)
(2,47,K)
(2,49,K)
(3,0,K)
(3,1,K)
(3,4,K)
(3,5,K)
(3,12,K)
(3,13,K)
(3,16,K)
(3,19,K)
(3,22,K)
(3,25,K)
(3,27,K)
(3,29,K)
(3,30,K)
(3,35,K)
(3,36,K)
(3,38,K)
(3,41,K)
(3,42,K)
(3,46,K)
(4,2,K)
(4,3,K)
(4,6,K)
(4,7,K)
(4,9,K)
(4,12,K)
(4,13,K)
(4,16,K)
(4,18,K)
(4,19,K)
(4,20,K)
(4,21,K)
(4,24,K)
(4,37,K)
(4,43,K)
(5,2,K)
(5,4,K)
(5,9,K)
(5,10,K)
(5,13,K)
(5,16,K)
(5,19,K)
(5,25,K)
(5,29,K)
(5,35,K)
(5,38,K)
(5,40,K)
(5,41,K)
(5,47,K)
(6,1,K)
(6,11,K)
(6,12,K)
(6,20,K)
(6,22,K)
(6,29,K)
(6,32,K)
(6,33,K)
(6,42,K)
(6,48,K)
(7,3,K)
(7,10,K)
(7,12,K)
(7,13,K)
(7,16,K)
(7,17,K)
(7,21,K)
(7,25,K)
(7,28,K)
(7,30,K)
(7,33,K)
(7,42,K)
(7,45,K)
(7,46,K)
(7,47,K)
(7,48,K)
(7,49,K)
(8,2,K)
(8,5,K)
(8,10,K)
(8,11,K)
(8,14,K)
(8,15,K)
(8,16,K)
(8,28,K)
(8,35,K)
(8,38,K)
(8,39,K)
(8,42,K)
(8,44,K)
(8,47,K)
(9,2,K)
(9,6,K)
(9,8,K)
(9,15,K)
(9,34,K)
(9,36,K)
(10,1,K)
(10,5,K)
(10,9,K)
(10,11,K)
(10,14,K)
(10,19,K)
(10,26,K)
(10,33,K)
(10,34,K)
(10,38,K)
(10,41,K)
(10,43,K)
(10,47,K)
